# ells    n1    n2    n3    n4    n5    n6    n7    n8    n9    n10
1.210000000000000000e+02 1.836712619916751837e-20 9.958787700286500104e-21 7.088318454242444941e-21 5.111532857553689821e-21 3.668611378524557555e-21 2.636434625846288781e-21 1.885578833222666398e-21 1.316194131988850479e-21 8.554564810708616466e-22 4.209171448359333771e-22
1.260000000000000000e+02 1.586737111674202178e-20 8.630650613632627667e-21 6.181128824158516067e-21 4.529153034480991271e-21 3.280715348464733809e-21 2.362482066478176550e-21 1.686343870062440401e-21 1.172707845536609954e-21 7.595054788772070995e-22 3.734368103954206479e-22
1.310000000000000000e+02 1.377512908187074899e-20 7.527653036815133920e-21 5.397472715939308810e-21 4.014075921896349387e-21 2.940129970614040760e-21 2.125954203596485568e-21 1.516589777920098734e-21 1.051363589567481070e-21 6.782000582436850002e-22 3.327921741794991236e-22
1.360000000000000000e+02 1.201277647287909481e-20 6.608114979536720984e-21 4.723538523835485903e-21 3.557394455967696968e-21 2.637946572566690008e-21 1.919208703596470390e-21 1.370355520152489867e-21 9.478781814043482584e-22 6.090149021780512240e-22 2.979010419715857746e-22
1.410000000000000000e+02 1.051866278379687498e-20 5.836674085121909327e-21 4.146649949888883912e-21 3.152701021097917386e-21 2.367785481007657074e-21 1.736423186867425538e-21 1.243004565910097113e-21 8.587993630390142350e-22 5.498265575317399989e-22 2.678652258535249590e-22
1.460000000000000000e+02 9.245203821794175176e-21 5.184013148908897901e-21 3.654787193473249501e-21 2.795015691516700879e-21 2.125115635156257754e-21 1.573184050827230822e-21 1.130923466860654120e-21 7.814052573687326570e-22 4.988611549114239511e-22 2.419361248570338814e-22
1.510000000000000000e+02 8.154963333864237366e-21 4.626391376965551327e-21 3.236511368826903434e-21 2.480134118966215320e-21 1.906736993769431833e-21 1.426202361010266624e-21 1.031280051657223348e-21 7.135414802418549469e-22 4.546494290985600980e-22 2.194815071525392122e-22
1.560000000000000000e+02 7.217652775221138622e-21 4.145149691701845485e-21 2.881171759859291147e-21 2.204246629231952667e-21 1.710322823639984703e-21 1.293069979079462285e-21 9.418637170070526301e-22 6.535005250296484614e-22 4.160004966464283425e-22 1.999613225363515160e-22
1.610000000000000000e+02 6.408634352853630030e-21 3.725957661369303082e-21 2.578887367098988817e-21 1.963632221775992162e-21 1.534060837870719311e-21 1.172047639930794531e-21 8.609601330381318260e-22 5.999100273843561707e-22 3.819514468657209625e-22 1.829136654262071106e-22
1.680000000000000000e+02 5.454736103153865677e-21 3.222388077755688895e-21 2.228067644003847768e-21 1.679187183047253550e-21 1.318334091659396547e-21 1.020681749235743559e-21 7.595946988422752215e-22 5.336753550726826159e-22 3.405643868965863862e-22 1.624677462489392571e-22
1.750000000000000000e+02 4.669749140264854095e-21 2.797152925138212854e-21 1.943273923175742663e-21 1.447157733215017356e-21 1.135418204492158231e-21 8.882823208019617107e-22 6.699155156281998885e-22 4.756598312648884011e-22 3.050311788462148369e-22 1.452401054767811519e-22
1.820000000000000000e+02 4.020051213543890183e-21 2.435081784507453633e-21 1.707883265389010872e-21 1.258317330393045742e-21 9.816634325520124860e-22 7.730983334588131337e-22 5.903116796882138663e-22 4.242208336779263997e-22 2.740927898525928060e-22 1.305578065236991748e-22
1.890000000000000000e+02 3.478854448410039637e-21 2.125512179659527297e-21 1.509368566035033105e-21 1.104178814995576828e-21 8.533963940908082322e-22 6.736204148503976318e-22 5.197348128160028489e-22 3.782373144294550862e-22 2.467983638756002478e-22 1.179013091741714453e-22
1.960000000000000000e+02 3.025129824126969342e-21 1.860616319598452873e-21 1.338801122398550407e-21 9.773068615632783762e-22 7.469890157857518000e-22 5.883829461807568883e-22 4.574309102012727642e-22 3.369681381983758999e-22 2.224402045668652127e-22 1.068671674513350804e-22
2.030000000000000000e+02 2.642456955896380359e-21 1.633918257821036657e-21 1.190008140267701947e-21 8.713952390423952779e-22 6.589216992001160789e-22 5.159021386659207757e-22 4.027704663061525370e-22 2.999297137777973668e-22 2.005090576643885464e-22 9.714069375802072198e-23
2.100000000000000000e+02 2.317819876438120677e-21 1.439951976369125891e-21 1.058942169064609366e-21 7.813848676261077503e-22 5.859003440296462422e-22 4.546679289322163469e-22 3.551506160558085497e-22 2.667869398230357361e-22 1.806522627855720701e-22 8.847603513920765481e-23
2.170000000000000000e+02 2.041030744105792830e-21 1.274008074561218213e-21 9.430037934567743996e-22 7.033936575691592722e-22 5.249354568660730040e-22 4.031695303983595558e-22 3.139551598661679268e-22 2.372743784977489032e-22 1.626323609757291607e-22 8.068284387751062520e-23
2.240000000000000000e+02 1.803879760242767565e-21 1.131676565829576024e-21 8.404237342684809283e-22 6.346301699431658308e-22 4.734697614276941210e-22 3.599624447508149371e-22 2.785529812599144954e-22 2.111493263606511300e-22 1.462902980943942468e-22 7.361702679548292684e-23
2.310000000000000000e+02 1.599590880809658412e-21 1.009059735681405241e-21 7.498883340485738067e-22 5.731475465230351759e-22 4.293019854323611973e-22 3.236340560279607957e-22 2.482945390595122191e-22 1.881659420215149041e-22 1.315110075979788113e-22 6.717208523668441589e-23
2.380000000000000000e+02 1.422985067546742185e-21 9.030145948033540785e-22 6.703045506546972730e-22 5.177075641047544597e-22 3.907434694064413484e-22 2.929317482106296566e-22 2.225374443035371277e-22 1.680704322863410511e-22 1.182015890933703751e-22 6.127140159516644939e-23
2.450000000000000000e+02 1.269692419257915394e-21 8.108155766329713503e-22 6.006366069027608152e-22 4.675251230459986738e-22 3.564663122960614600e-22 2.667117938239125163e-22 2.006496232583034886e-22 1.506000618473952495e-22 1.062756103167008270e-22 5.586045206167912066e-23
2.520000000000000000e+02 1.136225736617275454e-21 7.302203963570011330e-22 5.398409414286547217e-22 4.221339322465585098e-22 3.255404718834978185e-22 2.440145696187715269e-22 1.820287007518752941e-22 1.354857360382120960e-22 9.564554554317037472e-23 5.089998833202604732e-23
2.590000000000000000e+02 1.019543523868676009e-21 6.593498381764614777e-22 4.868395129101736145e-22 3.812249195823349022e-22 2.973314228516788211e-22 2.240467040310332057e-22 1.661123629785080772e-22 1.224570113574717889e-22 8.622015097860776787e-23 4.636036950474086730e-23
2.660000000000000000e+02 9.172774337760764528e-22 5.967642022947417160e-22 4.405873981957455371e-22 3.445531919290026355e-22 2.714388294110431497e-22 2.061870826615691067e-22 1.523980659696673888e-22 1.112531551179197169e-22 7.790534865458788985e-23 4.221724885759374233e-23
2.730000000000000000e+02 8.273113157681483502e-22 5.412388852242388507e-22 4.001043009009279073e-22 3.118678934034046697e-22 2.476250810778966146e-22 1.899682783478354022e-22 1.404377673040969580e-22 1.016123313165984973e-22 7.060264143950296818e-23 3.844878520114899176e-23
2.800000000000000000e+02 7.479854674870647070e-22 4.918496003131790168e-22 3.644864354673732525e-22 2.828953769642187048e-22 2.257631722279617013e-22 1.750634560078936850e-22 1.298608777149381253e-22 9.329519569010339440e-23 6.421448092741670487e-23 3.503395065661795508e-23
2.870000000000000000e+02 6.777914542319920850e-22 4.478125634150883091e-22 3.329751280754612279e-22 2.573203296802115775e-22 2.057818297522981661e-22 1.612567223788862978e-22 1.203637094172191996e-22 8.607662258040968088e-23 5.864219074153318590e-23 3.195154565083586683e-23
2.940000000000000000e+02 6.155028554052161789e-22 4.083810596559446704e-22 3.048786227824161232e-22 2.347862247396390060e-22 1.876257726619748295e-22 1.484165436866506339e-22 1.117100347936459223e-22 7.975389807712873270e-23 5.378810917822371489e-23 2.917983437378318972e-23
3.010000000000000000e+02 5.601391979037265180e-22 3.731578180118217365e-22 2.797085915007401810e-22 2.149292303402441867e-22 1.712335672675908621e-22 1.364705657758078679e-22 1.037258882418055947e-22 7.415210919754569502e-23 4.955875770565787657e-23 2.669673930568680695e-23
3.080000000000000000e+02 5.107573382719070012e-22 3.415585214933227896e-22 2.570100525664584955e-22 1.973851191184096671e-22 1.565291781632884590e-22 1.253867749853983092e-22 9.628955271034591102e-23 6.912290330269651305e-23 4.586462537634393426e-23 2.447982830319868393e-23
3.150000000000000000e+02 4.666037571516752321e-22 3.131558794990239650e-22 2.364536132577295784e-22 1.818085544288630850e-22 1.434037620417559214e-22 1.151495018253733745e-22 8.932242464274566463e-23 6.454582009931947991e-23 4.262171902002704300e-23 2.250628643220888253e-23
3.220000000000000000e+02 4.270475069316976982e-22 2.876275760164116823e-22 2.177987063327316645e-22 1.678957877719340390e-22 1.317392507099415221e-22 1.057551562000979650e-22 8.277874150096801958e-23 6.032646231526634116e-23 3.975398245418744526e-23 2.075348719376235732e-23
3.290000000000000000e+02 3.915382248282296616e-22 2.646289583038533526e-22 2.008281448416168732e-22 1.553723716316653059e-22 1.213812219313857597e-22 9.718582105141570366e-23 7.663512266617705334e-23 5.639451460827701653e-23 3.719371304355527215e-23 1.919877550627576800e-23
3.360000000000000000e+02 3.595778386921699779e-22 2.438586790522439791e-22 1.853755182089022477e-22 1.440226664924362105e-22 1.121843265677701873e-22 8.942377463873172431e-23 7.088499801759505470e-23 5.270086051930940344e-23 3.488278429994385964e-23 1.782017104845269900e-23
3.430000000000000000e+02 3.307567615817894960e-22 2.250757772404510540e-22 1.713056405658443276e-22 1.336670754313967152e-22 1.039933892001499835e-22 8.243344469782643424e-23 6.552716280915569797e-23 4.921208263212417019e-23 3.277192223594746691e-23 1.659635444610653682e-23
3.500000000000000000e+02 3.047167002168071628e-22 2.080566315034861062e-22 1.584958549783301285e-22 1.241678972764209341e-22 9.665629271721848290e-23 7.616360257470977169e-23 6.056400495464737169e-23 4.590998090698536734e-23 3.082153338066710870e-23 1.550718469056166477e-23
3.570000000000000000e+02 2.811509515263796264e-22 1.926015820122184850e-22 1.468329835961290621e-22 1.154233292022169863e-22 9.004309203873798495e-23 7.055871254168361956e-23 5.599563530150718908e-23 4.278471730798793783e-23 2.900061094407063079e-23 1.453375450165807728e-23
3.640000000000000000e+02 2.597808435635183431e-22 1.785332090219376129e-22 1.362077192734781217e-22 1.073561831290547030e-22 8.403911058728996443e-23 6.555405499034916586e-23 5.181774473249567033e-23 3.983374007179618183e-23 2.728592718941585160e-23 1.365880136526239346e-23
3.710000000000000000e+02 2.403671796834745967e-22 1.657072568501786352e-22 1.265261748646354097e-22 9.990748997714840649e-23 7.854313368377263237e-23 6.107747005778832681e-23 4.801949254688220405e-23 3.705832847375178976e-23 2.566104847299920457e-23 1.286689043789683533e-23
3.780000000000000000e+02 2.227046913014724124e-22 1.539984856741316981e-22 1.176970728322224214e-22 9.303166574328025184e-23 7.347693021904880250e-23 5.705938397335058672e-23 4.458417740848119107e-23 3.446107416543941424e-23 2.411511615465062031e-23 1.214441062047799486e-23
3.850000000000000000e+02 2.066088802581216544e-22 1.432921305626273841e-22 1.096336886317994370e-22 8.669033087657373314e-23 6.878008922157499726e-23 5.343322759411710885e-23 4.148910817999037441e-23 3.204444208181969896e-23 2.264179380419416210e-23 1.147964595509291978e-23
3.920000000000000000e+02 1.919165469503064350e-22 1.334837961989442551e-22 1.022564768106913462e-22 8.084984774728851346e-23 6.440802236778271033e-23 5.013818516876736654e-23 3.870688306421779901e-23 2.980936100759821000e-23 2.123807136276201333e-23 1.086279142463953027e-23
3.990000000000000000e+02 1.784841294130038231e-22 1.244850758684632206e-22 9.549392858616758336e-23 7.547719222456856482e-23 6.032818810317989603e-23 4.712058653417295047e-23 3.620685121820219762e-23 2.775449042375458338e-23 1.990325899071694549e-23 1.028580745492675276e-23
4.010000000000000000e+02 1.748613990393763391e-22 1.220560193426909847e-22 9.366759405862655208e-23 7.402458066597325946e-23 5.921410888673194880e-23 4.630352277870828863e-23 3.554000271972944523e-23 2.720009453429766835e-23 1.953465532183826283e-23 1.012735424381019334e-23
4.110000000000000000e+02 1.580303174687712212e-22 1.107189470550265512e-22 8.514981715080880280e-23 6.726049739623791400e-23 5.395233892167564126e-23 4.246810824136383150e-23 3.248458532962812978e-23 2.463768648271249491e-23 1.777784363929424129e-23 9.371797666589993256e-24
4.210000000000000000e+02 1.431479863634851575e-22 1.006562443029424129e-22 7.757388246574250009e-23 6.126770032838940058e-23 4.918901919697677852e-23 3.899114119873312605e-23 2.982795774014763501e-23 2.240669668693684286e-23 1.616824050078746201e-23 8.669155533967809907e-24
4.310000000000000000e+02 1.299454405282798512e-22 9.168677180171180912e-23 7.080492677969913823e-23 5.594995562135946192e-23 4.489373940350289152e-23 3.581028261239803227e-23 2.748650264669007999e-23 2.047363260950594849e-23 1.470907714502543483e-23 8.011694739159635610e-24
4.410000000000000000e+02 1.181998183682107844e-22 8.367899039418292737e-23 6.474254531383065497e-23 5.121592383700533514e-23 4.103585121988753373e-23 3.288732745489165074e-23 2.539032392066161930e-23 1.879896734457890157e-23 1.340046459007288591e-23 7.395209859621607001e-24
4.510000000000000000e+02 1.077313012204867442e-22 7.651247721422226387e-23 5.929831269867851753e-23 4.698459254205968915e-23 3.758409104867905185e-23 3.020173739008122558e-23 2.348522788200573203e-23 1.734086600569585350e-23 1.223844520457660030e-23 6.817941451116357514e-24
4.610000000000000000e+02 9.837886916394613112e-23 7.009060967856388309e-23 5.440135232223864983e-23 4.318406437132015860e-23 3.449966543569321815e-23 2.774157383241601659e-23 2.173253568651755224e-23 1.605860833413624765e-23 1.121478516372247448e-23 6.279590455504837605e-24
4.710000000000000000e+02 9.000026706491406122e-23 6.431817655659181972e-23 4.998932784104733546e-23 3.975658231748764838e-23 3.174400726276550201e-23 2.549980691953384677e-23 2.010777818571206730e-23 1.491587849548419672e-23 1.031774690906290605e-23 5.780562790754685729e-24
4.810000000000000000e+02 8.247791992486774691e-23 5.911604497439663499e-23 4.600666803726935362e-23 3.665385272457142017e-23 2.927636222343953009e-23 2.346827046321072089e-23 1.859694660478984259e-23 1.388210249436249617e-23 9.532878092162921241e-24 5.321276095354726431e-24
