# raw signal
# index,l,r,value,z
274,0,360.0,-9.265033150771625e-05,1.2
275,0,365.0,-8.815158187991773e-05,1.2
276,0,370.0,-8.363364943307888e-05,1.2
277,0,375.0,-7.919271018716757e-05,1.2
278,0,380.0,-7.503340945184745e-05,1.2
279,0,385.0,-7.135427807934805e-05,1.2
280,2,40.0,-0.06483465368739519,1.2
281,2,45.0,-0.05341329810157169,1.2
282,2,50.0,-0.04458971633781971,1.2
283,2,55.0,-0.03763372878321309,1.2
284,2,60.0,-0.03206309045112812,1.2
285,2,65.0,-0.027543494525141966,1.2
286,2,70.0,-0.023831181793195554,1.2
287,2,75.0,-0.020751711985811782,1.2
288,2,80.0,-0.01817339805835111,1.2
289,2,85.0,-0.015996989919466277,1.2
290,2,90.0,-0.01414824893388737,1.2
291,2,95.0,-0.012567924784092523,1.2
292,2,100.0,-0.011211457472179978,1.2
293,2,105.0,-0.01004489497274328,1.2
294,2,110.0,-0.009037758989072268,1.2
295,2,115.0,-0.008161842975822372,1.2
296,2,120.0,-0.007384240562231333,1.2
297,2,125.0,-0.00665480468285943,1.2
298,2,130.0,-0.0059073708818558135,1.2
299,2,135.0,-0.00509452694621539,1.2
300,2,140.0,-0.004270809104475739,1.2
301,2,145.0,-0.0035934494469199627,1.2
302,2,150.0,-0.0031855228743652773,1.2
303,2,155.0,-0.003031671580375018,1.2
304,2,160.0,-0.0030203762689093834,1.2
305,2,165.0,-0.0030406503950850586,1.2
306,2,170.0,-0.0030290864172470818,1.2
307,2,175.0,-0.0029673668136607346,1.2
308,2,180.0,-0.0028623782181188854,1.2
309,2,185.0,-0.002727760374885295,1.2
310,2,190.0,-0.002575779749841049,1.2
311,2,195.0,-0.0024156033930768767,1.2
312,2,200.0,-0.0022546217556548014,1.2
313,2,205.0,-0.0020987145315474864,1.2
314,2,210.0,-0.001950885366744972,1.2
315,2,215.0,-0.0018118191910284503,1.2
316,2,220.0,-0.0016821275294203139,1.2
317,2,225.0,-0.0015621986535540701,1.2
318,2,230.0,-0.0014511830348861883,1.2
319,2,235.0,-0.0013480149098672998,1.2
320,2,240.0,-0.0012525460590320852,1.2
321,2,245.0,-0.0011647195869122003,1.2
322,2,250.0,-0.0010840385027033376,1.2
323,2,255.0,-0.001010044841251822,1.2
324,2,260.0,-0.0009421818825594477,1.2
325,2,265.0,-0.0008794988254401462,1.2
326,2,270.0,-0.0008212346805164614,1.2
327,2,275.0,-0.0007670981702108682,1.2
328,2,280.0,-0.0007168825304839211,1.2
329,2,285.0,-0.0006704647733669554,1.2
330,2,290.0,-0.0006279905374942581,1.2
331,2,295.0,-0.0005893641235760643,1.2
332,2,300.0,-0.0005540256023373632,1.2
333,2,305.0,-0.0005214264616669761,1.2
334,2,310.0,-0.0004912460776903294,1.2
335,2,315.0,-0.0004630975855635955,1.2
336,2,320.0,-0.0004365124099297162,1.2
337,2,325.0,-0.000411300020226694,1.2
338,2,330.0,-0.00038753991390857735,1.2
339,2,335.0,-0.0003652153006567663,1.2
340,2,340.0,-0.0003442338773614306,1.2
341,2,345.0,-0.0003246684482081504,1.2
342,2,350.0,-0.00030662269002289884,1.2
343,2,355.0,-0.0002899617616936368,1.2
344,2,360.0,-0.000274376575840153,1.2
345,2,365.0,-0.0002596294114206921,1.2
346,2,370.0,-0.00024563765466480527,1.2
347,2,375.0,-0.0002324110716922046,1.2
348,2,380.0,-0.00022002887502309097,1.2
349,2,385.0,-0.00020856494239468787,1.2
350,4,40.0,0.004951403660327283,1.2
351,4,45.0,0.004245693710381577,1.2
352,4,50.0,0.00367937734759585,1.2
353,4,55.0,0.003217773971347628,1.2
354,4,60.0,0.002836250452168297,1.2
355,4,65.0,0.0025168883870415617,1.2
356,4,70.0,0.00224708910040739,1.2
357,4,75.0,0.0020169293229324882,1.2
358,4,80.0,0.0018191396717877983,1.2
359,4,85.0,0.0016479450818327266,1.2
360,4,90.0,0.0014987159088136518,1.2
361,4,95.0,0.0013679025365697624,1.2
362,4,100.0,0.0012525017729845798,1.2
363,4,105.0,0.0011500268810241724,1.2
364,4,110.0,0.0010587067998207374,1.2
365,4,115.0,0.0009772801006454584,1.2
366,4,120.0,0.0009052936142626126,1.2
367,4,125.0,0.0008436740924436038,1.2
368,4,130.0,0.0007942827352197185,1.2
369,4,135.0,0.0007572715750299369,1.2
370,4,140.0,0.0007258745087711565,1.2
371,4,145.0,0.0006880777014655977,1.2
372,4,150.0,0.0006370363341450766,1.2
373,4,155.0,0.0005767886910492084,1.2
374,4,160.0,0.0005169461503335555,1.2
375,4,165.0,0.00046504513169042753,1.2
376,4,170.0,0.00042388458923743556,1.2
377,4,175.0,0.000392683080062855,1.2
378,4,180.0,0.00036912955740207854,1.2
379,4,185.0,0.0003509121753112443,1.2
380,4,190.0,0.00033625089526326084,1.2
381,4,195.0,0.0003239032362609502,1.2
382,4,200.0,0.0003129678329823478,1.2
383,4,205.0,0.00030280376988837547,1.2
384,4,210.0,0.0002930796550529059,1.2
385,4,215.0,0.0002836793166884153,1.2
386,4,220.0,0.00027450952375697717,1.2
387,4,225.0,0.00026550926879440127,1.2
388,4,230.0,0.0002567152143872138,1.2
389,4,235.0,0.00024817344625220345,1.2
390,4,240.0,0.00023985901291926124,1.2
391,4,245.0,0.00023174578215762713,1.2
392,4,250.0,0.00022384308720998182,1.2
393,4,255.0,0.00021615659731469744,1.2
394,4,260.0,0.00020869947559529388,1.2
395,4,265.0,0.00020151194907847063,1.2
396,4,270.0,0.00019461571919724416,1.2
397,4,275.0,0.00018799686412511202,1.2
398,4,280.0,0.00018163796326277083,1.2
399,4,285.0,0.00017551794308038286,1.2
400,4,290.0,0.00016959941112744753,1.2
401,4,295.0,0.0001638676459017557,1.2
402,4,300.0,0.00015834335221168573,1.2
403,4,305.0,0.00015304418095092722,1.2
404,4,310.0,0.00014796984099313526,1.2
405,4,315.0,0.00014312546312336507,1.2
406,4,320.0,0.00013852176420594636,1.2
407,4,325.0,0.0001341482806409408,1.2
408,4,330.0,0.000129976521062279,1.2
409,4,335.0,0.0001259883323005809,1.2
410,4,340.0,0.00012217294537468214,1.2
411,4,345.0,0.00011850877981319026,1.2
412,4,350.0,0.00011497449231501096,1.2
413,4,355.0,0.00011156846095906375,1.2
414,4,360.0,0.00010830197391947135,1.2
415,4,365.0,0.00010518010594524679,1.2
416,4,370.0,0.00010219629562948669,1.2
417,4,375.0,9.93379922834825e-05,1.2
418,4,380.0,9.658879972179525e-05,1.2
419,4,385.0,9.393436746105742e-05,1.2
420,0,40.0,0.060849835906888194,1.4
421,0,45.0,0.04514902255278699,1.4
422,0,50.0,0.03407709504079209,1.4
423,0,55.0,0.026090220984502435,1.4
424,0,60.0,0.020209270050057595,1.4
425,0,65.0,0.01580143379457274,1.4
426,0,70.0,0.012451955728837427,1.4
427,0,75.0,0.009873844472179925,1.4
428,0,80.0,0.007868299687460034,1.4
429,0,85.0,0.006294165768464647,1.4
430,0,90.0,0.005045508593329984,1.4
431,0,95.0,0.004046588472551929,1.4
432,0,100.0,0.0032373827743183287,1.4
433,0,105.0,0.002569283989894601,1.4
434,0,110.0,0.0020099398154517145,1.4
435,0,115.0,0.0015407714547837404,1.4
436,0,120.0,0.0011655056387539435,1.4
437,0,125.0,0.0009309860456570154,1.4
438,0,130.0,0.0009262546067202801,1.4
439,0,135.0,0.0012233957468435702,1.4
440,0,140.0,0.0017269200584785374,1.4
441,0,145.0,0.0021522525504011555,1.4
442,0,150.0,0.0022479309868183887,1.4
443,0,155.0,0.0019871296490051155,1.4
444,0,160.0,0.0015184535074154498,1.4
445,0,165.0,0.001010999566586407,1.4
446,0,170.0,0.0005695681757971201,1.4
447,0,175.0,0.00023004501339866416,1.4
448,0,180.0,-1.3328244110429989e-05,1.4
449,0,185.0,-0.0001795023998581348,1.4
450,0,190.0,-0.0002872085495081694,1.4
451,0,195.0,-0.0003515493783033885,1.4
452,0,200.0,-0.00038572124958611084,1.4
453,0,205.0,-0.0004011722877049158,1.4
454,0,210.0,-0.0004050093371097808,1.4
455,0,215.0,-0.0004005444247002618,1.4
456,0,220.0,-0.0003908776246506747,1.4
457,0,225.0,-0.0003786676615965153,1.4
458,0,230.0,-0.00036436618017781264,1.4
